epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.766,1.27677,2.78229,1.47442,0.89498,0.87322,0.92347,0.58716,1.20085,1.03873,1.40406,0.00333039,0.00333039,0.00333039
2,269.337,1.18648,1.68798,1.36765,0.96445,0.94964,0.98642,0.67084,1.10556,0.71542,1.29388,0.00653179,0.00653179,0.00653179
3,396.974,1.20625,1.49182,1.36755,0.91275,0.86485,0.9319,0.59984,1.22047,0.90439,1.41154,0.00960118,0.00960118,0.00960118
4,520.316,1.20667,1.31951,1.36409,0.96736,0.96097,0.98973,0.70319,1.01749,0.61383,1.21965,0.009406,0.009406,0.009406
5,645.177,1.12315,1.11212,1.30865,0.97704,0.9536,0.99021,0.73552,0.93233,0.55605,1.1622,0.009208,0.009208,0.009208
6,767.034,1.06401,0.99168,1.26923,0.98102,0.97443,0.99297,0.75984,0.89496,0.48165,1.13615,0.00901,0.00901,0.00901
7,888.588,1.01613,0.93794,1.24079,0.98309,0.97332,0.9932,0.783,0.80655,0.46164,1.07392,0.008812,0.008812,0.008812
8,1010.21,0.98015,0.87565,1.22341,0.9898,0.9845,0.99448,0.80276,0.77106,0.40908,1.04479,0.008614,0.008614,0.008614
9,1132.5,0.94479,0.83216,1.19639,0.99243,0.98214,0.99463,0.81255,0.74318,0.39029,1.02576,0.008416,0.008416,0.008416
10,1258.17,0.92029,0.79896,1.18651,0.99071,0.98423,0.99448,0.8205,0.7079,0.38027,1.00633,0.008218,0.008218,0.008218
11,1384.27,0.89117,0.77539,1.17256,0.99292,0.99173,0.9949,0.83506,0.67748,0.35682,0.99753,0.00802,0.00802,0.00802
12,1511.54,0.87775,0.74871,1.161,0.9878,0.98572,0.99379,0.83356,0.67772,0.35102,0.983,0.007822,0.007822,0.007822
13,1637.02,0.85995,0.73616,1.14995,0.99369,0.9885,0.99461,0.85017,0.64313,0.33556,0.96981,0.007624,0.007624,0.007624
14,1762.08,0.84095,0.71308,1.14104,0.99505,0.99154,0.99487,0.85269,0.62158,0.31971,0.94614,0.007426,0.007426,0.007426
15,1886.61,0.8246,0.70159,1.1362,0.99505,0.99248,0.99477,0.86603,0.59467,0.30965,0.92801,0.007228,0.007228,0.007228
16,2010.82,0.80475,0.68168,1.12144,0.99544,0.9909,0.99491,0.8694,0.5797,0.30013,0.92524,0.00703,0.00703,0.00703
17,2135.32,0.79854,0.67668,1.11894,0.9954,0.99038,0.99481,0.87386,0.56668,0.29536,0.91417,0.006832,0.006832,0.006832
18,2259.55,0.78669,0.66151,1.11446,0.99299,0.99401,0.99485,0.88289,0.54244,0.2857,0.89996,0.006634,0.006634,0.006634
19,2383.52,0.77473,0.64487,1.10598,0.99297,0.99299,0.99432,0.88334,0.54557,0.28271,0.89974,0.006436,0.006436,0.006436
20,2507.76,0.75957,0.63502,1.10126,0.99701,0.99272,0.99496,0.88857,0.52751,0.27353,0.89349,0.006238,0.006238,0.006238
21,2632.15,0.74771,0.62977,1.09167,0.99563,0.99504,0.99495,0.89625,0.5004,0.26305,0.87396,0.00604,0.00604,0.00604
22,2756.44,0.74012,0.6179,1.08759,0.99525,0.99512,0.99494,0.90063,0.49237,0.25792,0.86836,0.005842,0.005842,0.005842
23,2881.2,0.73175,0.61053,1.08466,0.99779,0.99349,0.99476,0.90467,0.48528,0.25519,0.86824,0.005644,0.005644,0.005644
24,3006.68,0.72094,0.59988,1.07679,0.9942,0.99429,0.99495,0.90703,0.47062,0.25108,0.85747,0.005446,0.005446,0.005446
25,3131.97,0.70904,0.59638,1.07175,0.99755,0.99568,0.99496,0.91254,0.46071,0.24433,0.85008,0.005248,0.005248,0.005248
26,3256.69,0.70744,0.59035,1.07107,0.99714,0.99524,0.995,0.91995,0.4491,0.23968,0.84652,0.00505,0.00505,0.00505
27,3381.47,0.69289,0.58208,1.06268,0.9966,0.99476,0.99499,0.91895,0.44358,0.23493,0.84323,0.004852,0.004852,0.004852
28,3506.04,0.68651,0.56916,1.06059,0.99658,0.99608,0.99493,0.92257,0.43283,0.23044,0.83817,0.004654,0.004654,0.004654
29,3630.25,0.67839,0.56237,1.05642,0.99703,0.99523,0.9948,0.92635,0.43089,0.22684,0.83505,0.004456,0.004456,0.004456
30,3754.16,0.66693,0.55961,1.05221,0.99732,0.9958,0.99496,0.92846,0.41795,0.22412,0.82848,0.004258,0.004258,0.004258
31,3878.52,0.66579,0.55679,1.05412,0.99758,0.99562,0.99497,0.93017,0.41349,0.22198,0.82615,0.00406,0.00406,0.00406
32,4003.04,0.6544,0.54004,1.04663,0.99564,0.99635,0.99473,0.93221,0.40611,0.22109,0.82185,0.003862,0.003862,0.003862
33,4127.29,0.6432,0.5338,1.03771,0.99789,0.99512,0.99494,0.93388,0.40147,0.21808,0.81918,0.003664,0.003664,0.003664
34,4251.34,0.64065,0.52426,1.03761,0.99763,0.99538,0.99495,0.93721,0.39629,0.21375,0.81628,0.003466,0.003466,0.003466
35,4375.47,0.62928,0.52288,1.03365,0.99664,0.9972,0.99496,0.93777,0.38964,0.20891,0.81304,0.003268,0.003268,0.003268
36,4499.93,0.6213,0.51329,1.02821,0.99764,0.9973,0.99499,0.94103,0.38287,0.20773,0.81001,0.00307,0.00307,0.00307
37,4624.66,0.61088,0.50941,1.02384,0.99817,0.99596,0.99498,0.94202,0.37736,0.20583,0.80595,0.002872,0.002872,0.002872
38,4749.39,0.60878,0.50619,1.02488,0.99793,0.99676,0.99499,0.94488,0.37156,0.20211,0.80199,0.002674,0.002674,0.002674
39,4874.53,0.59959,0.49378,1.01958,0.99817,0.99623,0.99498,0.94581,0.36525,0.1981,0.79825,0.002476,0.002476,0.002476
40,4999.42,0.59663,0.49584,1.01756,0.99751,0.99664,0.99497,0.94699,0.36192,0.19594,0.7966,0.002278,0.002278,0.002278
41,5132.63,0.42272,0.23822,0.90028,0.99721,0.99666,0.99498,0.94911,0.35432,0.19401,0.79432,0.00208,0.00208,0.00208
42,5255.21,0.4111,0.23026,0.89381,0.99764,0.99684,0.99497,0.95195,0.34724,0.19341,0.79188,0.001882,0.001882,0.001882
43,5377.92,0.3928,0.21937,0.8877,0.99741,0.99724,0.99499,0.95403,0.34118,0.18961,0.78906,0.001684,0.001684,0.001684
44,5500.82,0.38165,0.21505,0.88365,0.99823,0.99707,0.99499,0.95619,0.33476,0.18618,0.78593,0.001486,0.001486,0.001486
45,5623.39,0.37031,0.20794,0.87698,0.99825,0.99697,0.995,0.95771,0.32999,0.18373,0.78399,0.001288,0.001288,0.001288
46,5745.81,0.35997,0.20243,0.87262,0.99846,0.99672,0.995,0.95941,0.32527,0.18247,0.78206,0.00109,0.00109,0.00109
47,5868.03,0.35024,0.1982,0.86697,0.99859,0.99658,0.99499,0.96022,0.32125,0.18001,0.77994,0.000892,0.000892,0.000892
48,5990.45,0.34125,0.19166,0.86273,0.99758,0.99741,0.99499,0.96184,0.31787,0.17792,0.77802,0.000694,0.000694,0.000694
49,6112.5,0.33273,0.18625,0.86193,0.99864,0.9964,0.99499,0.96309,0.31499,0.17668,0.77656,0.000496,0.000496,0.000496
50,6234.89,0.321,0.18064,0.85576,0.99872,0.99629,0.99499,0.9635,0.31263,0.17529,0.77523,0.000298,0.000298,0.000298
