epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.291,1.27817,2.42992,1.45734,0.97181,0.96233,0.98916,0.71517,0.97722,0.66796,1.18265,0.0033326,0.0033326,0.0033326
2,903.603,1.1968,1.52385,1.35877,0.98897,0.97233,0.99363,0.76375,0.86787,0.51078,1.09173,0.00653395,0.00653395,0.00653395
3,1334.6,1.23191,1.37055,1.38047,0.98134,0.97337,0.9939,0.77092,0.84998,0.47347,1.09917,0.00960329,0.00960329,0.00960329
4,1766.72,1.20264,1.24586,1.36614,0.99268,0.98221,0.99463,0.80929,0.75822,0.38601,1.04231,0.009406,0.009406,0.009406
5,2209.2,1.11631,1.09067,1.31146,0.99437,0.98667,0.99476,0.83968,0.67624,0.34251,0.98819,0.009208,0.009208,0.009208
6,2657.93,1.0639,1.01224,1.28044,0.99484,0.98874,0.99482,0.851,0.64679,0.31827,0.96644,0.00901,0.00901,0.00901
7,3091.62,1.02003,0.95451,1.25159,0.9971,0.98933,0.99493,0.86515,0.59718,0.29625,0.93413,0.008812,0.008812,0.008812
8,3521.88,0.99716,0.91652,1.2363,0.9953,0.9921,0.99487,0.87267,0.57855,0.28137,0.92236,0.008614,0.008614,0.008614
9,3950.98,0.97482,0.88502,1.22027,0.996,0.99303,0.99494,0.88197,0.55857,0.27045,0.90951,0.008416,0.008416,0.008416
10,4380.42,0.95639,0.86643,1.21001,0.99561,0.99361,0.99496,0.88737,0.54422,0.26533,0.89882,0.008218,0.008218,0.008218
11,4809.44,0.93766,0.83949,1.19657,0.99721,0.99143,0.99496,0.89208,0.5322,0.25909,0.8921,0.00802,0.00802,0.00802
12,5237.33,0.92244,0.82901,1.18711,0.99738,0.99203,0.99497,0.89437,0.52624,0.25499,0.88787,0.007822,0.007822,0.007822
13,5665.97,0.91092,0.81053,1.17897,0.99699,0.99222,0.99496,0.89571,0.51968,0.25118,0.88288,0.007624,0.007624,0.007624
14,6095.08,0.9006,0.79748,1.1744,0.99524,0.99397,0.99496,0.89869,0.51238,0.24647,0.87841,0.007426,0.007426,0.007426
15,6523.64,0.88806,0.78384,1.16741,0.99487,0.99441,0.99497,0.90087,0.50529,0.2435,0.87469,0.007228,0.007228,0.007228
16,6952.25,0.87982,0.77505,1.16162,0.99498,0.99452,0.99497,0.90237,0.49941,0.24112,0.87149,0.00703,0.00703,0.00703
17,7380.34,0.87067,0.76416,1.15579,0.99688,0.99306,0.99497,0.9049,0.49418,0.239,0.86829,0.006832,0.006832,0.006832
18,7809.21,0.85748,0.75325,1.1479,0.99706,0.99351,0.99498,0.90574,0.48936,0.23668,0.86543,0.006634,0.006634,0.006634
