epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.017,1.36575,2.72337,1.54007,0.94921,0.85612,0.93687,0.61567,1.17849,0.8899,1.32707,0.0033326,0.0033326,0.0033326
2,907.284,1.29826,1.85164,1.45674,0.94602,0.87692,0.94763,0.66812,1.07692,0.74658,1.27433,0.00653395,0.00653395,0.00653395
3,1337.62,1.33763,1.70396,1.49075,0.96316,0.8865,0.9546,0.68185,1.05139,0.67607,1.27356,0.00960329,0.00960329,0.00960329
4,1764.82,1.31475,1.58006,1.48477,0.97671,0.90752,0.9702,0.72996,0.94008,0.55276,1.2001,0.009406,0.009406,0.009406
5,2191.92,1.23414,1.39358,1.42375,0.98251,0.92369,0.97706,0.75728,0.8633,0.49145,1.14472,0.009208,0.009208,0.009208
6,2620.36,1.17922,1.29836,1.38643,0.98361,0.93271,0.98119,0.78099,0.80292,0.44895,1.09585,0.00901,0.00901,0.00901
7,3046.04,1.14152,1.22282,1.3551,0.98673,0.94028,0.98342,0.79404,0.77444,0.41655,1.0706,0.008812,0.008812,0.008812
8,3473,1.11945,1.18774,1.34049,0.98756,0.94371,0.98535,0.80156,0.74472,0.40039,1.05289,0.008614,0.008614,0.008614
9,3898.4,1.09122,1.14485,1.32152,0.98568,0.94706,0.98657,0.81042,0.7221,0.38427,1.03698,0.008416,0.008416,0.008416
10,4323.37,1.07672,1.11824,1.30959,0.99009,0.94695,0.98726,0.82003,0.70462,0.36967,1.02114,0.008218,0.008218,0.008218
11,4748.34,1.05903,1.09458,1.30004,0.99089,0.94882,0.98799,0.82368,0.69407,0.3617,1.01294,0.00802,0.00802,0.00802
12,5173.05,1.04167,1.06722,1.28473,0.9927,0.94992,0.98811,0.82681,0.68746,0.35633,1.00707,0.007822,0.007822,0.007822
13,5598.09,1.02924,1.04573,1.27579,0.99093,0.95266,0.98831,0.82923,0.68044,0.35066,1.00168,0.007624,0.007624,0.007624
14,6022.89,1.01868,1.02991,1.26979,0.99017,0.95336,0.98849,0.83144,0.67574,0.3465,0.99804,0.007426,0.007426,0.007426
15,6449.32,1.00832,1.01514,1.26233,0.98737,0.95713,0.98864,0.83377,0.67144,0.34235,0.99469,0.007228,0.007228,0.007228
16,6873.37,0.9953,1.00102,1.25606,0.98812,0.95705,0.98879,0.83578,0.66593,0.33885,0.99095,0.00703,0.00703,0.00703
17,7297.01,0.98792,0.99138,1.25007,0.9901,0.95687,0.98918,0.83796,0.66037,0.33552,0.98692,0.006832,0.006832,0.006832
18,7721.21,0.98057,0.97651,1.24468,0.98395,0.9622,0.98934,0.84045,0.65538,0.33224,0.98302,0.006634,0.006634,0.006634
19,8145.44,0.97219,0.96974,1.23794,0.98849,0.96078,0.98942,0.84271,0.65025,0.32902,0.97923,0.006436,0.006436,0.006436
20,8571.14,0.95984,0.9491,1.23074,0.99035,0.9605,0.98978,0.84485,0.64604,0.32646,0.97577,0.006238,0.006238,0.006238
21,8996.03,0.95444,0.94216,1.2278,0.99287,0.95895,0.98995,0.84604,0.6414,0.32353,0.9724,0.00604,0.00604,0.00604
22,9422.11,0.94848,0.93496,1.22173,0.99329,0.95966,0.99013,0.8478,0.6364,0.32069,0.96871,0.005842,0.005842,0.005842
23,9846.8,0.93853,0.92331,1.21602,0.99315,0.95996,0.99028,0.849,0.63119,0.31801,0.96487,0.005644,0.005644,0.005644
24,10272,0.93091,0.91338,1.21298,0.99129,0.96214,0.99036,0.85034,0.62592,0.31502,0.9611,0.005446,0.005446,0.005446
25,10697.8,0.92811,0.90708,1.20859,0.99151,0.96238,0.99061,0.85226,0.62091,0.3122,0.95766,0.005248,0.005248,0.005248
26,11123.5,0.91705,0.89869,1.20324,0.99217,0.9639,0.9909,0.85345,0.61638,0.30931,0.95407,0.00505,0.00505,0.00505
27,11550.5,0.90981,0.88488,1.19797,0.9927,0.96477,0.99093,0.85481,0.61035,0.30563,0.94974,0.004852,0.004852,0.004852
28,11976.4,0.90191,0.877,1.19322,0.99365,0.96457,0.99113,0.85703,0.60523,0.30263,0.9461,0.004654,0.004654,0.004654
29,12402.8,0.89745,0.86685,1.18852,0.99421,0.96439,0.99121,0.85929,0.59883,0.29948,0.94195,0.004456,0.004456,0.004456
30,12827.9,0.89144,0.8594,1.18616,0.99381,0.966,0.99139,0.86105,0.59347,0.29646,0.93837,0.004258,0.004258,0.004258
31,13253.7,0.87952,0.84839,1.17921,0.99339,0.96555,0.99149,0.86264,0.58796,0.29345,0.93486,0.00406,0.00406,0.00406
32,13679.4,0.876,0.83584,1.17396,0.99069,0.96823,0.99155,0.86504,0.5821,0.29106,0.9312,0.003862,0.003862,0.003862
33,14105.4,0.86582,0.82964,1.16884,0.98887,0.96985,0.99169,0.86773,0.57616,0.28784,0.92731,0.003664,0.003664,0.003664
34,14531.3,0.8584,0.81837,1.16544,0.98895,0.96987,0.99167,0.86986,0.56943,0.28506,0.92313,0.003466,0.003466,0.003466
35,14956.6,0.85201,0.81157,1.16085,0.98907,0.96999,0.99176,0.87113,0.56414,0.28257,0.91949,0.003268,0.003268,0.003268
36,15382.5,0.84235,0.80093,1.15479,0.99064,0.96906,0.99192,0.87336,0.55798,0.28021,0.91545,0.00307,0.00307,0.00307
37,15808.4,0.8361,0.79567,1.15224,0.99085,0.96974,0.99202,0.87587,0.55206,0.27754,0.91174,0.002872,0.002872,0.002872
38,16233.6,0.82669,0.78657,1.14792,0.99155,0.97058,0.99217,0.87772,0.54651,0.2754,0.90828,0.002674,0.002674,0.002674
39,16662.4,0.81703,0.77332,1.14039,0.99274,0.97041,0.99229,0.87963,0.54096,0.27297,0.90477,0.002476,0.002476,0.002476
40,17090.8,0.81133,0.76414,1.13775,0.99361,0.96984,0.99267,0.88149,0.53562,0.2707,0.90166,0.002278,0.002278,0.002278
