epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.855,1.57674,3.19665,1.45639,0.88397,0.76255,0.83879,0.54299,1.23019,1.18188,1.26304,0.0033326,0.0033326,0.0033326
2,934.438,1.51947,2.16848,1.41639,0.8953,0.80519,0.87305,0.59865,1.12378,1.00324,1.22554,0.00653394,0.00653394,0.00653394
3,1378.56,1.56213,1.99468,1.46533,0.9269,0.81338,0.88736,0.61655,1.11704,0.89492,1.22633,0.00960329,0.00960329,0.00960329
4,1816.6,1.53329,1.85829,1.4681,0.95541,0.84577,0.91767,0.66872,1.01135,0.74323,1.16956,0.009406,0.009406,0.009406
5,2255.69,1.44096,1.64719,1.40483,0.97066,0.86786,0.93685,0.7017,0.94417,0.64346,1.12669,0.009208,0.009208,0.009208
6,2695.82,1.39784,1.54043,1.37002,0.97044,0.88189,0.94537,0.72271,0.89443,0.59134,1.08782,0.00901,0.00901,0.00901
7,3136.02,1.35293,1.47225,1.34094,0.97014,0.89366,0.95204,0.73801,0.85994,0.55771,1.06667,0.008812,0.008812,0.008812
8,3575.96,1.33219,1.42399,1.32513,0.97474,0.89727,0.95558,0.74883,0.83688,0.52965,1.04765,0.008614,0.008614,0.008614
9,4014.71,1.31085,1.37734,1.30979,0.98264,0.89275,0.95746,0.7562,0.81823,0.51265,1.03672,0.008416,0.008416,0.008416
10,4451.56,1.28759,1.34381,1.29452,0.98525,0.89544,0.96015,0.76161,0.80595,0.49931,1.02654,0.008218,0.008218,0.008218
11,4891.91,1.26796,1.31296,1.28069,0.98144,0.9007,0.96233,0.76842,0.79274,0.4879,1.01841,0.00802,0.00802,0.00802
12,5331.97,1.25689,1.29176,1.27203,0.9827,0.90235,0.96289,0.77237,0.78576,0.48164,1.01344,0.007822,0.007822,0.007822
13,5772.25,1.24035,1.27515,1.26262,0.9861,0.90303,0.96352,0.77378,0.77938,0.47528,1.00898,0.007624,0.007624,0.007624
14,6211.68,1.22479,1.24027,1.25059,0.98693,0.90362,0.96428,0.7764,0.77332,0.46967,1.00479,0.007426,0.007426,0.007426
15,6649.7,1.21536,1.22659,1.24182,0.98707,0.9058,0.96481,0.779,0.76847,0.46549,1.00135,0.007228,0.007228,0.007228
16,7087.73,1.20674,1.21584,1.23791,0.98717,0.9064,0.96531,0.78058,0.76394,0.4608,0.99801,0.00703,0.00703,0.00703
17,7527.94,1.1949,1.19485,1.23097,0.98516,0.9083,0.96609,0.78222,0.75994,0.45704,0.99514,0.006832,0.006832,0.006832
18,7967.74,1.18397,1.18407,1.22445,0.98444,0.91001,0.96652,0.78434,0.75605,0.45385,0.9924,0.006634,0.006634,0.006634
19,8405.05,1.17783,1.1671,1.21582,0.9873,0.90909,0.967,0.7856,0.75182,0.45073,0.98927,0.006436,0.006436,0.006436
20,8844.32,1.16831,1.16036,1.21087,0.98003,0.91577,0.96778,0.78769,0.74809,0.44747,0.98641,0.006238,0.006238,0.006238
21,9283.79,1.15787,1.13676,1.20236,0.98083,0.91777,0.96834,0.78977,0.74422,0.44451,0.98333,0.00604,0.00604,0.00604
22,9723.98,1.14773,1.12618,1.19504,0.97741,0.92151,0.96864,0.79175,0.74037,0.44132,0.98038,0.005842,0.005842,0.005842
23,10164.2,1.14508,1.11874,1.19315,0.97709,0.92334,0.96925,0.79412,0.73636,0.43794,0.97726,0.005644,0.005644,0.005644
24,10602.7,1.13645,1.10752,1.1894,0.97614,0.9244,0.9697,0.79497,0.73278,0.43494,0.97456,0.005446,0.005446,0.005446
25,11038.9,1.13183,1.09772,1.18368,0.97757,0.92398,0.97033,0.79713,0.72905,0.43238,0.97124,0.005248,0.005248,0.005248
26,11478.3,1.1235,1.08867,1.18019,0.97939,0.92414,0.97112,0.79866,0.72498,0.42947,0.96782,0.00505,0.00505,0.00505
27,11919,1.11451,1.07938,1.17452,0.98151,0.92438,0.97163,0.80112,0.7211,0.42682,0.96467,0.004852,0.004852,0.004852
28,12359.3,1.10819,1.06334,1.17021,0.98274,0.92456,0.97214,0.80229,0.71735,0.42367,0.96158,0.004654,0.004654,0.004654
29,12798.1,1.10596,1.05301,1.16677,0.9813,0.92549,0.97274,0.8029,0.7139,0.42086,0.9587,0.004456,0.004456,0.004456
30,13236.4,1.09548,1.04452,1.16309,0.9851,0.92357,0.9732,0.80443,0.70965,0.4175,0.95583,0.004258,0.004258,0.004258
31,13674,1.08608,1.03037,1.15604,0.98738,0.92206,0.97362,0.80586,0.70557,0.41461,0.95269,0.00406,0.00406,0.00406
32,14114.4,1.08245,1.02114,1.14946,0.98718,0.92217,0.9742,0.80751,0.70161,0.41203,0.94953,0.003862,0.003862,0.003862
33,14554.6,1.07144,1.01293,1.14444,0.98777,0.9231,0.97434,0.80949,0.69779,0.40948,0.94648,0.003664,0.003664,0.003664
34,14992.4,1.06293,0.9996,1.14071,0.98577,0.92453,0.97483,0.81144,0.69433,0.40695,0.94381,0.003466,0.003466,0.003466
35,15430.2,1.05727,0.99749,1.13872,0.9871,0.92508,0.97489,0.81231,0.69017,0.40446,0.94104,0.003268,0.003268,0.003268
36,15868.8,1.04829,0.98024,1.13328,0.98753,0.9256,0.97509,0.81424,0.68651,0.40191,0.9384,0.00307,0.00307,0.00307
37,16308.5,1.04109,0.97144,1.13002,0.98805,0.92657,0.97584,0.81552,0.68295,0.39968,0.93615,0.002872,0.002872,0.002872
38,16749.1,1.03238,0.96047,1.12198,0.98854,0.92698,0.97657,0.81728,0.67891,0.39722,0.93342,0.002674,0.002674,0.002674
39,17188.8,1.02311,0.94838,1.11949,0.98877,0.92724,0.97683,0.81889,0.67508,0.3942,0.93083,0.002476,0.002476,0.002476
40,17625.3,1.01871,0.93865,1.1156,0.9882,0.92755,0.97699,0.82051,0.67145,0.3914,0.92832,0.002278,0.002278,0.002278
41,18082,0.96634,0.74985,1.09566,0.98791,0.92808,0.97695,0.82182,0.6678,0.3891,0.92629,0.00208,0.00208,0.00208
42,18519.5,0.95163,0.73021,1.08643,0.98658,0.92943,0.97738,0.8232,0.66397,0.3865,0.92401,0.001882,0.001882,0.001882
43,18957,0.93774,0.71689,1.07878,0.98641,0.93004,0.9779,0.82452,0.65966,0.38364,0.92136,0.001684,0.001684,0.001684
44,19393.4,0.92569,0.70349,1.07135,0.98358,0.93268,0.97836,0.8261,0.65549,0.38104,0.91898,0.001486,0.001486,0.001486
45,19829.3,0.9131,0.69115,1.06518,0.98536,0.9318,0.97857,0.82718,0.6517,0.37836,0.91661,0.001288,0.001288,0.001288
46,20264.3,0.89795,0.67608,1.05641,0.98139,0.93485,0.9787,0.82774,0.64756,0.37545,0.91424,0.00109,0.00109,0.00109
47,20702.4,0.88673,0.66263,1.05006,0.98295,0.93412,0.97869,0.82907,0.64378,0.37242,0.91174,0.000892,0.000892,0.000892
48,21139.7,0.87436,0.65334,1.04241,0.98508,0.93446,0.97867,0.83029,0.64016,0.36966,0.90942,0.000694,0.000694,0.000694
49,21574.9,0.86405,0.64425,1.03917,0.98352,0.93645,0.97899,0.83161,0.63664,0.36708,0.90738,0.000496,0.000496,0.000496
50,22010.6,0.85083,0.62944,1.03074,0.98378,0.93623,0.97902,0.83272,0.63329,0.36437,0.90526,0.000298,0.000298,0.000298
