epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.438,1.51688,2.87887,1.34208,0.97095,0.97057,0.98821,0.7207,0.9629,0.66285,1.11732,0.00333261,0.00333261,0.00333261
2,1171.87,1.38293,1.50806,1.28436,0.9777,0.97702,0.98476,0.75301,0.86632,0.56301,1.07517,0.00653395,0.00653395,0.00653395
3,1735.6,1.39292,1.3142,1.31203,0.98642,0.98669,0.99362,0.7745,0.84083,0.51608,1.08925,0.0096033,0.0096033,0.0096033
4,2294.51,1.34748,1.20118,1.31618,0.99423,0.99227,0.99477,0.80561,0.7593,0.43227,1.04975,0.009406,0.009406,0.009406
5,2853.4,1.25696,1.05373,1.26627,0.99627,0.99543,0.9948,0.8339,0.69209,0.38715,1.00874,0.009208,0.009208,0.009208
6,3418.83,1.2037,0.98251,1.2365,0.99554,0.99574,0.99492,0.84909,0.65184,0.36098,0.98735,0.00901,0.00901,0.00901
7,3977.26,1.1665,0.93724,1.21554,0.99736,0.99824,0.99499,0.858,0.62237,0.33751,0.97065,0.008812,0.008812,0.008812
8,4535.89,1.13724,0.90219,1.19583,0.99782,0.99654,0.99495,0.86718,0.60083,0.32694,0.95771,0.008614,0.008614,0.008614
9,5094.88,1.11606,0.87753,1.1853,0.99774,0.99656,0.99497,0.87113,0.59069,0.31877,0.95004,0.008416,0.008416,0.008416
10,5652.44,1.09927,0.86057,1.17571,0.9986,0.99735,0.99498,0.87487,0.57873,0.31177,0.94329,0.008218,0.008218,0.008218
11,6210.56,1.08071,0.84005,1.15757,0.9983,0.99732,0.99498,0.8783,0.5695,0.30807,0.93637,0.00802,0.00802,0.00802
12,6769.06,1.06771,0.81869,1.15133,0.99832,0.99765,0.99499,0.8809,0.56144,0.30167,0.93198,0.007822,0.007822,0.007822
13,7327.5,1.04658,0.79772,1.13709,0.99847,0.99758,0.99499,0.88258,0.55521,0.2966,0.92841,0.007624,0.007624,0.007624
14,7886.18,1.04051,0.79347,1.13463,0.99863,0.99766,0.99499,0.88451,0.55017,0.29309,0.92529,0.007426,0.007426,0.007426
15,8456.65,1.02741,0.77716,1.1272,0.99885,0.99775,0.995,0.88592,0.54534,0.29084,0.92284,0.007228,0.007228,0.007228
16,9021.27,1.02112,0.76691,1.12381,0.99892,0.99769,0.995,0.88777,0.54155,0.28869,0.92075,0.00703,0.00703,0.00703
17,9585.15,1.0123,0.76017,1.11639,0.99906,0.99772,0.995,0.88872,0.53785,0.28656,0.91849,0.006832,0.006832,0.006832
18,10147.2,1.00162,0.74838,1.11112,0.99908,0.99771,0.99499,0.89082,0.53373,0.28409,0.91627,0.006634,0.006634,0.006634
19,10708.8,0.99767,0.74393,1.10937,0.9991,0.99771,0.99499,0.89189,0.52986,0.2819,0.91433,0.006436,0.006436,0.006436
20,11267.2,0.98893,0.73174,1.1034,0.99893,0.99777,0.99499,0.89285,0.52627,0.27984,0.91243,0.006238,0.006238,0.006238
21,11826.4,0.98257,0.7255,1.0989,0.9988,0.99801,0.995,0.89416,0.52292,0.27752,0.91038,0.00604,0.00604,0.00604
22,12384.1,0.97576,0.72096,1.09529,0.99888,0.99847,0.995,0.89559,0.51956,0.27523,0.90841,0.005842,0.005842,0.005842
23,12942,0.96882,0.71221,1.09162,0.9989,0.99863,0.995,0.89637,0.51606,0.2733,0.90619,0.005644,0.005644,0.005644
24,13499.9,0.95905,0.70286,1.08631,0.99892,0.99868,0.995,0.89818,0.51243,0.27179,0.9042,0.005446,0.005446,0.005446
25,14056.8,0.95409,0.70025,1.08117,0.99893,0.99853,0.995,0.89949,0.50902,0.26937,0.90212,0.005248,0.005248,0.005248
26,14614.1,0.95166,0.69479,1.08053,0.99914,0.99865,0.995,0.90112,0.50547,0.26724,0.90005,0.00505,0.00505,0.00505
27,15171.8,0.93978,0.68336,1.0735,0.99916,0.99859,0.995,0.90152,0.50257,0.26551,0.89824,0.004852,0.004852,0.004852
28,15729.8,0.93407,0.68003,1.07047,0.99918,0.99852,0.995,0.90319,0.49919,0.26355,0.89614,0.004654,0.004654,0.004654
29,16288.3,0.92539,0.67036,1.0661,0.99921,0.99854,0.995,0.90457,0.49594,0.26158,0.89418,0.004456,0.004456,0.004456
30,16846.9,0.91678,0.66098,1.06079,0.999,0.99894,0.995,0.90623,0.49252,0.2595,0.89208,0.004258,0.004258,0.004258
31,17404.4,0.91639,0.65428,1.05907,0.99901,0.99902,0.995,0.9082,0.48934,0.25725,0.89018,0.00406,0.00406,0.00406
32,17962.1,0.90643,0.65293,1.05498,0.99904,0.9991,0.995,0.90902,0.4859,0.25541,0.88841,0.003862,0.003862,0.003862
33,18519.6,0.90158,0.64501,1.05392,0.99919,0.99913,0.995,0.91049,0.48266,0.25358,0.8868,0.003664,0.003664,0.003664
34,19078.3,0.89485,0.64097,1.04912,0.99919,0.99913,0.995,0.91179,0.4793,0.25182,0.88495,0.003466,0.003466,0.003466
35,19637.5,0.88948,0.63792,1.04785,0.99918,0.99913,0.995,0.91305,0.47589,0.25007,0.88317,0.003268,0.003268,0.003268
36,20196.2,0.87962,0.62439,1.03957,0.99918,0.99916,0.995,0.9141,0.47249,0.24815,0.88129,0.00307,0.00307,0.00307
37,20753.2,0.87278,0.61606,1.03764,0.9992,0.99914,0.995,0.91583,0.46929,0.24606,0.87949,0.002872,0.002872,0.002872
38,21311.5,0.86245,0.60982,1.03232,0.99908,0.99925,0.995,0.91727,0.46585,0.2441,0.87782,0.002674,0.002674,0.002674
39,21869.3,0.8599,0.60939,1.03181,0.99902,0.99929,0.995,0.91834,0.46231,0.24273,0.87604,0.002476,0.002476,0.002476
40,22426.5,0.85107,0.60052,1.0267,0.99912,0.9993,0.995,0.91883,0.45909,0.2409,0.87427,0.002278,0.002278,0.002278
41,23002.4,0.76299,0.47443,1.00044,0.99916,0.99928,0.995,0.92038,0.45526,0.23883,0.87247,0.00208,0.00208,0.00208
42,23556.1,0.74753,0.4626,0.99412,0.99925,0.99925,0.995,0.92166,0.45122,0.23696,0.87052,0.001882,0.001882,0.001882
43,24109.8,0.73793,0.45455,0.98819,0.9992,0.99926,0.995,0.92277,0.44716,0.2353,0.86872,0.001684,0.001684,0.001684
44,24663.4,0.72597,0.44738,0.98278,0.99921,0.99929,0.995,0.92385,0.44317,0.23331,0.86695,0.001486,0.001486,0.001486
45,25219.5,0.71309,0.43717,0.97477,0.99919,0.99938,0.995,0.9252,0.43968,0.2311,0.86512,0.001288,0.001288,0.001288
46,25772.3,0.70279,0.43156,0.96888,0.99923,0.99941,0.995,0.9265,0.43582,0.22927,0.86319,0.00109,0.00109,0.00109
47,26325.2,0.69359,0.4238,0.96628,0.99926,0.99942,0.995,0.92793,0.43202,0.22721,0.86128,0.000892,0.000892,0.000892
48,26878.3,0.68364,0.41515,0.95982,0.99927,0.99944,0.995,0.92885,0.42826,0.22546,0.85936,0.000694,0.000694,0.000694
49,27431.4,0.67275,0.407,0.95364,0.99928,0.99945,0.995,0.93021,0.42442,0.22322,0.85752,0.000496,0.000496,0.000496
50,27984.9,0.66171,0.40072,0.94802,0.99928,0.99946,0.995,0.93155,0.42091,0.22129,0.85572,0.000298,0.000298,0.000298
