epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,593.356,1.40708,2.65565,1.28387,0.96446,0.9677,0.98629,0.73155,0.92824,0.62435,1.08526,0.00333261,0.00333261,0.00333261
2,1160.22,1.27217,1.3204,1.22738,0.9889,0.98947,0.99357,0.78454,0.80821,0.51134,1.04234,0.00653395,0.00653395,0.00653395
3,1716.25,1.283,1.13803,1.25651,0.9892,0.99101,0.99415,0.7969,0.78024,0.46372,1.04542,0.0096033,0.0096033,0.0096033
4,2267.96,1.24182,1.04296,1.25913,0.99512,0.99423,0.99468,0.82873,0.70166,0.39511,1.01368,0.009406,0.009406,0.009406
5,2821.01,1.15845,0.91534,1.21419,0.99792,0.99711,0.99498,0.85394,0.64033,0.35017,0.98172,0.009208,0.009208,0.009208
6,3373.8,1.10889,0.85365,1.18556,0.9974,0.99735,0.99494,0.86614,0.60556,0.32734,0.95525,0.00901,0.00901,0.00901
7,3929.48,1.06434,0.8036,1.15853,0.99703,0.99841,0.99496,0.87721,0.57248,0.30606,0.93872,0.008812,0.008812,0.008812
8,4484,1.03756,0.76829,1.13747,0.9981,0.99844,0.99499,0.88315,0.55725,0.29555,0.9276,0.008614,0.008614,0.008614
9,5037.22,1.01308,0.74395,1.12594,0.9987,0.99831,0.995,0.88901,0.54346,0.28506,0.92062,0.008416,0.008416,0.008416
10,5589.43,1.00204,0.73193,1.11779,0.99847,0.99915,0.99499,0.89181,0.53478,0.27896,0.91398,0.008218,0.008218,0.008218
11,6142.42,0.98318,0.71308,1.10344,0.9983,0.99935,0.99499,0.89524,0.52567,0.27474,0.90785,0.00802,0.00802,0.00802
12,6695.59,0.96996,0.69773,1.09713,0.99889,0.99899,0.995,0.89792,0.51732,0.27015,0.90344,0.007822,0.007822,0.007822
13,7248.95,0.95891,0.68673,1.09207,0.99919,0.99856,0.99499,0.8998,0.51233,0.2674,0.90074,0.007624,0.007624,0.007624
14,7801.73,0.94989,0.67979,1.08664,0.99925,0.99839,0.99499,0.90068,0.50911,0.26542,0.8989,0.007426,0.007426,0.007426
15,8355.05,0.93896,0.66573,1.0788,0.99865,0.99909,0.995,0.903,0.50483,0.2631,0.89674,0.007228,0.007228,0.007228
16,8908.67,0.93327,0.66441,1.07389,0.99869,0.9992,0.995,0.90365,0.50159,0.26109,0.89471,0.00703,0.00703,0.00703
17,9462.74,0.91998,0.65051,1.06888,0.99873,0.99915,0.995,0.90524,0.49829,0.2598,0.89277,0.006832,0.006832,0.006832
18,10016.7,0.91359,0.64102,1.06367,0.99889,0.99892,0.995,0.90723,0.49487,0.25799,0.89075,0.006634,0.006634,0.006634
19,10569.2,0.90681,0.63512,1.05795,0.99896,0.99898,0.995,0.90837,0.49222,0.25667,0.88881,0.006436,0.006436,0.006436
20,11121.9,0.89764,0.62525,1.0536,0.999,0.99899,0.995,0.9094,0.48874,0.25502,0.88685,0.006238,0.006238,0.006238
21,11674.8,0.89319,0.62179,1.05004,0.99928,0.99897,0.995,0.91051,0.48511,0.25307,0.88467,0.00604,0.00604,0.00604
22,12228,0.88594,0.61869,1.04841,0.99933,0.99895,0.995,0.91155,0.48103,0.25114,0.88255,0.005842,0.005842,0.005842
23,12781.6,0.88074,0.60973,1.04439,0.99889,0.99926,0.995,0.91265,0.47732,0.24968,0.88034,0.005644,0.005644,0.005644
24,13334.5,0.87254,0.60279,1.04058,0.99891,0.99927,0.995,0.91344,0.47362,0.24826,0.8782,0.005446,0.005446,0.005446
25,13888.6,0.86748,0.59853,1.03781,0.99863,0.99933,0.99499,0.91505,0.47021,0.24664,0.87619,0.005248,0.005248,0.005248
26,14443.2,0.8625,0.59413,1.03434,0.99862,0.99935,0.99499,0.9165,0.46677,0.24464,0.87409,0.00505,0.00505,0.00505
27,14997.1,0.85211,0.58538,1.03167,0.99904,0.99936,0.995,0.91781,0.46319,0.24272,0.87204,0.004852,0.004852,0.004852
28,15551.8,0.84841,0.58356,1.02784,0.99924,0.99903,0.995,0.91936,0.4598,0.24102,0.87023,0.004654,0.004654,0.004654
29,16105.9,0.83962,0.57255,1.02133,0.99903,0.99903,0.995,0.92018,0.45579,0.23926,0.86812,0.004456,0.004456,0.004456
30,16659,0.83539,0.57097,1.02071,0.99909,0.99908,0.995,0.92065,0.45227,0.23723,0.8663,0.004258,0.004258,0.004258
31,17213.5,0.82829,0.56233,1.01813,0.99906,0.99908,0.995,0.92204,0.44901,0.23546,0.86461,0.00406,0.00406,0.00406
32,17767.3,0.82233,0.55983,1.0122,0.99914,0.99908,0.995,0.92358,0.44545,0.23369,0.86283,0.003862,0.003862,0.003862
33,18321.4,0.81686,0.55223,1.01191,0.99924,0.99908,0.995,0.92458,0.44202,0.2322,0.86106,0.003664,0.003664,0.003664
34,18879.9,0.80893,0.54833,1.00775,0.99943,0.99908,0.995,0.92547,0.43846,0.23088,0.85927,0.003466,0.003466,0.003466
35,19439.6,0.80519,0.54273,1.006,0.99944,0.99908,0.995,0.92664,0.43513,0.2292,0.85756,0.003268,0.003268,0.003268
36,19996.6,0.79523,0.53653,1.00182,0.99947,0.99908,0.995,0.92813,0.43156,0.22775,0.85578,0.00307,0.00307,0.00307
37,20553.1,0.78998,0.53086,0.99691,0.99943,0.99908,0.995,0.92879,0.42842,0.22624,0.85408,0.002872,0.002872,0.002872
38,21109.1,0.77946,0.52204,0.99114,0.99942,0.99908,0.995,0.93015,0.42467,0.22464,0.85239,0.002674,0.002674,0.002674
39,21665.5,0.77179,0.52037,0.99073,0.9994,0.99905,0.995,0.93166,0.4207,0.22286,0.85062,0.002476,0.002476,0.002476
40,22223.4,0.76803,0.51478,0.98874,0.99942,0.99903,0.995,0.93281,0.41689,0.22116,0.84899,0.002278,0.002278,0.002278
41,22792.9,0.67803,0.39495,0.95851,0.99942,0.99903,0.995,0.93449,0.41244,0.21936,0.84717,0.00208,0.00208,0.00208
42,23340.2,0.66474,0.38582,0.95061,0.9994,0.99908,0.995,0.93604,0.4074,0.21782,0.84499,0.001882,0.001882,0.001882
43,23887.6,0.65439,0.37715,0.94423,0.99942,0.99909,0.995,0.93764,0.4025,0.21562,0.84286,0.001684,0.001684,0.001684
44,24436.3,0.64245,0.3708,0.93924,0.99943,0.99908,0.995,0.93959,0.39815,0.21359,0.84093,0.001486,0.001486,0.001486
45,24984.1,0.63288,0.3626,0.93431,0.99942,0.99911,0.995,0.94113,0.39361,0.21157,0.83905,0.001288,0.001288,0.001288
46,25535,0.62284,0.35639,0.92871,0.99942,0.99912,0.995,0.94181,0.38938,0.20955,0.83716,0.00109,0.00109,0.00109
47,26084.8,0.6123,0.34955,0.92361,0.99942,0.99911,0.995,0.94338,0.38524,0.2076,0.83527,0.000892,0.000892,0.000892
