epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,967.44,1.31424,1.52409,1.2447,0.99083,0.99053,0.99362,0.79188,0.79748,0.41051,1.01004,0.00333261,0.00333261,0.00333261
2,1910.44,1.17234,0.90128,1.16664,0.9942,0.99514,0.99483,0.81634,0.73027,0.38814,0.99277,0.00653395,0.00653395,0.00653395
3,2800.5,1.20209,0.94682,1.1954,0.99628,0.99379,0.99494,0.81567,0.71975,0.38776,0.99866,0.0096033,0.0096033,0.0096033
4,3648.92,1.16337,0.89565,1.19277,0.9978,0.99757,0.99492,0.85366,0.62775,0.33232,0.95976,0.009406,0.009406,0.009406
5,4498.97,1.06774,0.78308,1.13851,0.99931,0.9992,0.995,0.88046,0.56633,0.29781,0.92616,0.009208,0.009208,0.009208
6,5349.37,1.01373,0.72425,1.11038,0.99947,0.99885,0.995,0.89601,0.52661,0.27908,0.90489,0.00901,0.00901,0.00901
7,6199.33,0.97491,0.68757,1.08846,0.99955,0.99908,0.995,0.90232,0.50879,0.26659,0.89458,0.008812,0.008812,0.008812
8,7048.7,0.94793,0.65746,1.0719,0.99928,0.99939,0.995,0.90861,0.49178,0.25488,0.8859,0.008614,0.008614,0.008614
9,7899.37,0.91873,0.63012,1.05913,0.99975,0.99925,0.995,0.91328,0.47956,0.24801,0.87945,0.008416,0.008416,0.008416
10,8749.52,0.9078,0.62391,1.05393,0.99961,0.99923,0.995,0.91727,0.46858,0.24183,0.87234,0.008218,0.008218,0.008218
11,9598.51,0.89112,0.60767,1.04253,0.99977,0.9992,0.995,0.92011,0.46145,0.23838,0.86796,0.00802,0.00802,0.00802
12,10448.3,0.87768,0.59422,1.03748,0.99976,0.9992,0.995,0.92239,0.45524,0.23357,0.86517,0.007822,0.007822,0.007822
13,11297.4,0.8659,0.58428,1.0311,0.99979,0.99921,0.995,0.92383,0.44903,0.23036,0.86243,0.007624,0.007624,0.007624
14,12147.7,0.85482,0.57744,1.02543,0.99979,0.99922,0.995,0.92531,0.44397,0.22817,0.86008,0.007426,0.007426,0.007426
15,12996.5,0.84365,0.56642,1.01776,0.99968,0.99931,0.995,0.92634,0.43932,0.22569,0.85763,0.007228,0.007228,0.007228
16,13846.3,0.83771,0.5617,1.01493,0.99965,0.99931,0.995,0.92829,0.43534,0.22373,0.85561,0.00703,0.00703,0.00703
17,14698.2,0.82307,0.55215,1.01184,0.99965,0.99931,0.995,0.9299,0.43107,0.2223,0.85399,0.006832,0.006832,0.006832
18,15549.2,0.8166,0.54239,1.00767,0.99946,0.99941,0.995,0.93046,0.42774,0.22016,0.85234,0.006634,0.006634,0.006634
